repository;vulnerabilities;duplicated_blocks;reliability_rating;code_smells;duplicated_lines;bugs;tests
jwd-ali_TidalTestProject.git;0;0;1.0;0;0;0;0.0
jwd-ali_MusicSearch-SwiftUI.git;0;0;1.0;0;0;0;0.0
ankitkanojia_dailyshop_react_redux.git;0;28;5.0;198;639;38;0.0
ankitkanojia_iBitcoin-Crypto.git;0;2;1.0;36;39;0;0.0
polm_boundless.git;0;34;3.0;165;5338;7;0.0
polm_palladian-facades.git;0;0;3.0;0;0;3;0.0
denistsoi_shrug-emoji.git;0;0;1.0;0;0;0;0.0
denistsoi_go-jokes.git;0;0;1.0;0;0;0;0.0
cagri90_DemoServer.git;0;0;1.0;0;0;0;0.0
cagri90_Interview.git;1;3;4.0;10;84;9;0.0
